date,mktrf,smb,hml,rf,umd
20090512,-0.003100,-0.007900,-0.016300,0.00000,0.017900
20090513,-0.029100,-0.015200,-0.014700,0.00000,0.051000
20090514,0.011100,0.005000,0.009600,0.00000,-0.017000
20090515,-0.010200,0.005600,-0.011300,0.00000,0.016500
20090518,0.031300,0.003500,0.019300,0.00000,-0.035000
20090519,-0.000400,0.002000,-0.012100,0.00000,-0.012800
20090520,-0.004800,-0.000200,-0.011000,0.00000,-0.007700
20090521,-0.016800,-0.001100,0.003500,0.00000,0.016600
20090522,-0.001500,-0.003400,-0.005700,0.00000,0.004000
20090526,0.027800,0.015200,0.006200,0.00000,-0.003600
20090527,-0.018000,0.002500,-0.012900,0.00000,-0.003600
20090528,0.013500,-0.013700,0.004500,0.00000,-0.012600
20090529,0.013800,0.005600,-0.002100,0.00000,-0.006100
20090601,0.027200,0.015600,-0.007200,0.00000,-0.019600
20090602,0.002900,0.008500,-0.001900,0.00000,0.007800
20090603,-0.013900,0.007800,-0.008400,0.00000,0.027200
20090604,0.011800,0.001500,0.010800,0.00000,-0.026800
20090605,-0.001900,0.001300,-0.005500,0.00000,-0.001500
20090608,-0.002000,-0.009700,0.006000,0.00000,0.006700
20090609,0.004900,0.003400,-0.002800,0.00000,-0.010200
20090610,-0.003500,-0.003300,-0.004700,0.00000,-0.012500
20090611,0.006300,-0.002100,0.002600,0.00000,-0.014100
20090612,0.000300,-0.001900,0.000100,0.00000,0.004700
20090615,-0.023800,-0.003000,-0.003300,0.00000,0.015100
20090616,-0.013300,-0.000900,-0.002600,0.00000,0.012800
20090617,-0.000800,0.009000,-0.009800,0.00000,0.026200
20090618,0.007400,-0.006400,0.004100,0.00000,0.007300
20090619,0.003500,0.002900,0.001000,0.00000,-0.002000
20090622,-0.030800,-0.003700,-0.007100,0.00000,0.037700
20090623,0.000800,-0.011000,0.001400,0.00000,-0.007700
20090624,0.007800,0.002700,-0.001800,0.00000,-0.007000
20090625,0.021900,0.008100,0.000400,0.00000,-0.004900
20090626,0.000400,0.015700,0.001300,0.00000,0.000900
20090629,0.008200,-0.010900,0.003500,0.00000,-0.001100
20090630,-0.007400,0.002500,-0.001900,0.00000,0.000300
20090701,0.005400,0.014900,0.001900,0.00001,0.002300
20090702,-0.028900,-0.006000,-0.010300,0.00001,0.010400
20090706,-0.000300,-0.009400,-0.009800,0.00001,0.020500
20090707,-0.019300,0.000300,-0.001500,0.00001,0.010900
20090708,-0.002000,-0.005500,-0.011100,0.00001,0.011000
20090709,0.003500,-0.005800,0.012500,0.00001,-0.011100
20090710,-0.003500,0.009400,-0.005000,0.00001,0.003300
20090713,0.024300,-0.006800,0.018100,0.00001,-0.004500
20090714,0.005900,0.003200,0.006300,0.00001,-0.007600
20090715,0.029800,0.005600,0.014100,0.00001,-0.015800
20090716,0.009400,0.004600,-0.001100,0.00001,-0.008500
20090717,-0.000500,-0.002300,-0.000400,0.00001,0.005300
20090720,0.011900,0.003300,0.003700,0.00001,-0.014400
20090721,0.003100,-0.005300,-0.008100,0.00001,0.005000
20090722,0.000800,0.006100,0.003400,0.00001,-0.002700
20090723,0.023700,0.005900,0.010900,0.00001,-0.017600
20090724,0.003800,0.003100,0.001500,0.00001,-0.011300
20090727,0.003000,0.000900,0.009800,0.00001,-0.012000
20090728,-0.002000,0.002900,-0.003400,0.00001,0.005200
20090729,-0.004600,-0.001300,-0.008200,0.00001,0.013000
20090730,0.012400,0.003100,0.014500,0.00001,-0.022500
20090731,0.000500,-0.001700,0.012700,0.00001,-0.012100
20090803,0.016300,0.001000,0.016800,0.00001,-0.020900
20090804,0.003200,0.004300,0.008300,0.00001,-0.013100
20090805,-0.003000,-0.011100,0.017000,0.00001,-0.014800
20090806,-0.006200,-0.009800,0.000500,0.00001,-0.005300
20090807,0.014400,0.009800,0.011800,0.00001,-0.011400
20090810,-0.003200,0.004700,0.002700,0.00001,-0.007000
20090811,-0.012500,-0.000700,-0.011400,0.00001,0.016000
20090812,0.012100,0.004400,0.005500,0.00001,-0.007700
20090813,0.007300,-0.003000,0.011100,0.00001,-0.015900
20090814,-0.009700,-0.012100,-0.002800,0.00001,0.003100
20090817,-0.024600,-0.001100,-0.016900,0.00001,0.020000
20090818,0.011100,0.004700,0.013000,0.00001,-0.010500
20090819,0.007200,0.004400,-0.003900,0.00001,0.001600
20090820,0.010000,-0.000400,0.008400,0.00001,-0.007500
20090821,0.018300,0.003600,0.006800,0.00001,-0.010300
20090824,-0.000900,0.000600,-0.002800,0.00001,-0.003400
20090825,0.002700,0.001700,0.006500,0.00001,0.002000
20090826,-0.000100,0.001400,0.001100,0.00001,0.000700
20090827,0.002100,-0.001500,0.005300,0.00001,-0.008200
20090828,-0.001900,-0.003700,0.005400,0.00001,-0.006300
20090831,-0.008600,-0.004800,-0.006300,0.00001,0.008300
20090901,-0.021500,0.001000,-0.020300,0.00000,0.016600
20090902,-0.002800,0.001400,-0.007000,0.00000,0.003300
20090903,0.009300,0.000300,0.010900,0.00000,-0.008600
20090904,0.013100,0.002600,0.002700,0.00000,-0.006900
20090908,0.008800,0.002000,0.000900,0.00000,-0.005700
20090909,0.009000,0.008000,0.006700,0.00000,-0.004400
20090910,0.010800,0.004600,0.009300,0.00000,-0.009300
20090911,-0.001000,0.001300,-0.000900,0.00000,-0.007800
20090914,0.006500,0.000900,0.006400,0.00000,-0.009400
20090915,0.004400,0.005800,0.006000,0.00000,-0.011100
20090916,0.015500,0.004100,0.013000,0.00000,-0.017300
20090917,-0.003000,-0.000700,-0.003400,0.00000,0.002100
20090918,0.002300,0.001000,-0.002000,0.00000,0.002000
20090921,-0.002700,-0.001700,-0.006700,0.00000,0.007000
20090922,0.006600,-0.000900,0.015000,0.00000,-0.012300
20090923,-0.010000,0.001500,-0.008800,0.00000,0.005400
20090924,-0.010700,-0.006600,-0.013400,0.00000,0.010400
20090925,-0.006400,0.001900,-0.005100,0.00000,0.000600
20090928,0.017900,0.003600,0.010400,0.00000,-0.002200
20090929,-0.001200,-0.000600,0.003600,0.00000,-0.000600
20090930,-0.004000,-0.005500,-0.006200,0.00000,0.006300
20091001,-0.026300,-0.006000,-0.013700,0.00000,0.005900
20091002,-0.004900,-0.003100,-0.001400,0.00000,0.001800
20091005,0.015400,0.000900,0.018300,0.00000,-0.003000
20091006,0.014200,0.005300,0.002400,0.00000,0.004000
20091007,0.002800,-0.003700,0.005600,0.00000,-0.001300
20091008,0.008200,0.003000,0.003400,0.00000,-0.001700
20091009,0.005900,0.006000,-0.002200,0.00000,0.000700
